"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2023-02-21,"20:00","Round of 16","Anfield","2022/2023","Liverpool eng","es Real Madrid",2,5,1.8,1.6,"A"
2023-02-21,"21:00","Round of 16","Deutsche Bank Park","2022/2023","Eint Frankfurt de","it Napoli",0,2,0.4,2.8,"A"
2023-02-22,"21:00","Round of 16","Red Bull Arena","2022/2023","RB Leipzig de","eng Manchester City",1,1,0.8,1.2,"D"
2023-02-22,"21:00","Round of 16","Stadio Giuseppe Meazza","2022/2023","Inter it","pt Porto",1,0,1.5,1.6,"H"
2023-03-07,"20:00","Round of 16","Stamford Bridge","2022/2023","Chelsea eng","de Dortmund",2,0,2,0.8,"H"
2023-03-07,"20:00","Round of 16","Estádio do Sport Lisboa e Benfica","2022/2023","Benfica pt","be Club Brugge",5,1,3.3,0.9,"H"
2023-03-08,"20:00","Round of 16","Tottenham Hotspur Stadium","2022/2023","Tottenham eng","it Milan",0,0,0.5,1.4,"D"
2023-03-08,"21:00","Round of 16","Allianz Arena","2022/2023","Bayern Munich de","fr Paris S-G",2,0,1.7,1.1,"H"
2023-03-14,"20:00","Round of 16","Estádio Do Dragão","2022/2023","Porto pt","it Inter",0,0,1.7,0.5,"D"
2023-03-14,"20:00","Round of 16","Etihad Stadium","2022/2023","Manchester City eng","de RB Leipzig",7,0,4.2,0.6,"H"
2023-03-15,"21:00","Round of 16","Stadio Diego Armando Maradona","2022/2023","Napoli it","de Eint Frankfurt",3,0,2.7,1.1,"H"
2023-03-15,"21:00","Round of 16","Estadio Santiago Bernabéu","2022/2023","Real Madrid es","eng Liverpool",1,0,2.2,0.6,"H"
2023-04-11,"20:00","Quarter-finals","Estádio da Luz (1954)","2022/2023","Benfica pt","it Inter",0,2,1.6,1.4,"A"
2023-04-11,"20:00","Quarter-finals","Etihad Stadium","2022/2023","Manchester City eng","de Bayern Munich",3,0,1.8,0.9,"H"
2023-04-12,"21:00","Quarter-finals","Estadio Santiago Bernabéu","2022/2023","Real Madrid es","eng Chelsea",2,0,2.3,0.7,"H"
2023-04-12,"21:00","Quarter-finals","Stadio Giuseppe Meazza","2022/2023","Milan it","it Napoli",1,0,1.1,1.3,"H"
2023-04-18,"20:00","Quarter-finals","Stamford Bridge","2022/2023","Chelsea eng","es Real Madrid",0,2,1.9,1.8,"A"
2023-04-18,"21:00","Quarter-finals","Stadio Diego Armando Maradona","2022/2023","Napoli it","it Milan",1,1,2.2,2,"D"
2023-04-19,"21:00","Quarter-finals","Allianz Arena","2022/2023","Bayern Munich de","eng Manchester City",1,1,2.2,1.3,"D"
2023-04-19,"21:00","Quarter-finals","Stadio Giuseppe Meazza","2022/2023","Inter it","pt Benfica",3,3,1.2,0.7,"D"
2023-05-09,"21:00","Semi-finals","Estadio Santiago Bernabéu","2022/2023","Real Madrid es","eng Manchester City",1,1,0.7,0.5,"D"
2023-05-10,"21:00","Semi-finals","Stadio Giuseppe Meazza","2022/2023","Milan it","it Inter",0,2,0.9,2,"A"
2023-05-16,"21:00","Semi-finals","Stadio Giuseppe Meazza","2022/2023","Inter it","it Milan",1,0,1,0.5,"H"
2023-05-17,"20:00","Semi-finals","Etihad Stadium","2022/2023","Manchester City eng","es Real Madrid",4,0,2.8,0.5,"H"
2023-06-10,"22:00","Final","Atatürk Olimpiyat Stadı (Neutral Site)","2022/2023","Manchester City eng","it Inter",1,0,1,1.7,"H"
2023-09-19,"18:45","Group stage","Stadio Giuseppe Meazza","2023/2024","Milan it","eng Newcastle Utd",0,0,1.9,0.3,"D"
2023-09-19,"18:45","Group stage","Stadion Wankdorf","2023/2024","Young Boys ch","de RB Leipzig",1,3,0.5,2.6,"A"
2023-09-19,"20:00","Group stage","Etihad Stadium","2023/2024","Manchester City eng","rs Red Star",3,1,4.1,0.8,"H"
2023-09-19,"21:00","Group stage","Parc des Princes","2023/2024","Paris S-G fr","de Dortmund",2,0,2.4,0.7,"H"
2023-09-19,"21:00","Group stage","Stadio Olimpico","2023/2024","Lazio it","es Atlético Madrid",1,1,1.2,0.9,"D"
2023-09-19,"21:00","Group stage","Stadion Feijenoord","2023/2024","Feyenoord nl","sct Celtic",2,0,1.6,0.3,"H"
2023-09-19,"21:00","Group stage","Estadi Olímpic Lluís Companys","2023/2024","Barcelona es","be Antwerp",5,0,2.8,0.3,"H"
2023-09-19,"22:00","Group stage","Volksparkstadion","2023/2024","Shakhtar ua","pt Porto",1,3,0.5,1.8,"A"
2023-09-20,"18:45","Group stage","Estadio Santiago Bernabéu","2023/2024","Real Madrid es","de Union Berlin",1,0,3.7,0.2,"H"
2023-09-20,"19:45","Group stage","RAMS Park","2023/2024","Galatasaray tr","dk FC Copenhagen",2,2,1.1,0.6,"D"
2023-09-20,"20:00","Group stage","Estádio Municipal de Braga","2023/2024","Braga pt","it Napoli",1,2,1.4,1.7,"A"
2023-09-20,"20:00","Group stage","Emirates Stadium","2023/2024","Arsenal eng","nl PSV Eindhoven",4,0,2.3,0.5,"H"
2023-09-20,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2023/2024","Benfica pt","at RB Salzburg",0,2,1.5,3.3,"A"
2023-09-20,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2023/2024","Sevilla es","fr Lens",1,1,0.8,1.3,"D"
2023-09-20,"21:00","Group stage","Trainingsgelände Allianz Arena","2023/2024","Bayern Munich de","eng Manchester Utd",4,3,2.2,1.7,"H"
2023-09-20,"21:00","Group stage","Reale Arena","2023/2024","Real Sociedad es","it Inter",1,1,1.3,0.5,"D"
2023-10-03,"18:45","Group stage","Red Bull Arena","2023/2024","RB Salzburg at","es Real Sociedad",0,2,0.6,1.2,"A"
2023-10-03,"18:45","Group stage","Olympiastadion Berlin","2023/2024","Union Berlin de","pt Braga",2,3,2,1.2,"A"
2023-10-03,"20:00","Group stage","Old Trafford","2023/2024","Manchester Utd eng","tr Galatasaray",2,3,2.3,2.6,"A"
2023-10-03,"21:00","Group stage","Philips Stadion","2023/2024","PSV Eindhoven nl","es Sevilla",2,2,2.6,1.3,"D"
2023-10-03,"21:00","Group stage","Stadio Giuseppe Meazza","2023/2024","Inter it","pt Benfica",1,0,3.8,0.3,"H"
2023-10-03,"21:00","Group stage","Parken","2023/2024","FC Copenhagen dk","de Bayern Munich",1,2,0.9,0.9,"A"
2023-10-03,"21:00","Group stage","Stadio Diego Armando Maradona","2023/2024","Napoli it","es Real Madrid",2,3,1.9,1.4,"A"
2023-10-03,"21:00","Group stage","Stade Bollaert-Delelis","2023/2024","Lens fr","eng Arsenal",2,1,0.7,1.5,"H"
2023-10-04,"18:45","Group stage","Estadio Cívitas Metropolitano","2023/2024","Atlético Madrid es","nl Feyenoord",3,2,0.8,2.4,"H"
2023-10-04,"18:45","Group stage","Bosuilstadion","2023/2024","Antwerp be","ua Shakhtar",2,3,1.8,2.3,"A"
2023-10-04,"20:00","Group stage","St James' Park","2023/2024","Newcastle Utd eng","fr Paris S-G",4,1,0.9,0.9,"H"
2023-10-04,"20:00","Group stage","Estádio Do Dragão","2023/2024","Porto pt","es Barcelona",0,1,0.7,1.3,"A"
2023-10-04,"20:00","Group stage","Celtic Park","2023/2024","Celtic sct","it Lazio",1,2,1.1,0.7,"A"
2023-10-04,"21:00","Group stage","Red Bull Arena","2023/2024","RB Leipzig de","eng Manchester City",1,3,0.5,2.2,"A"
2023-10-04,"21:00","Group stage","Signal Iduna Park","2023/2024","Dortmund de","it Milan",0,0,1,1.6,"D"
2023-10-04,"21:00","Group stage","Stadion Rajko Mitić","2023/2024","Red Star rs","ch Young Boys",2,2,2.6,2.6,"D"
2023-10-24,"18:45","Group stage","Stadio Giuseppe Meazza","2023/2024","Inter it","at RB Salzburg",2,1,2.3,0.5,"H"
2023-10-24,"19:45","Group stage","RAMS Park","2023/2024","Galatasaray tr","de Bayern Munich",1,3,2.7,1.9,"A"
2023-10-24,"20:00","Group stage","Old Trafford","2023/2024","Manchester Utd eng","dk FC Copenhagen",1,0,1.7,1.9,"H"
2023-10-24,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2023/2024","Benfica pt","es Real Sociedad",0,1,0.5,0.9,"A"
2023-10-24,"20:00","Group stage","Estádio Municipal de Braga","2023/2024","Braga pt","es Real Madrid",1,2,1.5,0.9,"A"
2023-10-24,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2023/2024","Sevilla es","eng Arsenal",1,2,0.8,1.9,"A"
2023-10-24,"21:00","Group stage","Stade Bollaert-Delelis","2023/2024","Lens fr","nl PSV Eindhoven",1,1,1.2,0.5,"D"
2023-10-24,"21:00","Group stage","Olympiastadion Berlin","2023/2024","Union Berlin de","it Napoli",0,1,0.4,0.2,"A"
2023-10-25,"18:45","Group stage","Estadi Olímpic Lluís Companys","2023/2024","Barcelona es","ua Shakhtar",2,1,2.6,0.9,"H"
2023-10-25,"18:45","Group stage","Stadion Feijenoord","2023/2024","Feyenoord nl","it Lazio",3,1,2.1,2.3,"H"
2023-10-25,"20:00","Group stage","Celtic Park","2023/2024","Celtic sct","es Atlético Madrid",2,2,0.9,2.1,"D"
2023-10-25,"20:00","Group stage","St James' Park","2023/2024","Newcastle Utd eng","de Dortmund",0,1,1.1,1.8,"A"
2023-10-25,"21:00","Group stage","Bosuilstadion","2023/2024","Antwerp be","pt Porto",1,4,0.7,1.3,"A"
2023-10-25,"21:00","Group stage","Stadion Wankdorf","2023/2024","Young Boys ch","eng Manchester City",1,3,0.4,4.2,"A"
2023-10-25,"21:00","Group stage","Parc des Princes","2023/2024","Paris S-G fr","it Milan",3,0,1.3,0.6,"H"
2023-10-25,"21:00","Group stage","Red Bull Arena","2023/2024","RB Leipzig de","rs Red Star",3,1,3.1,1,"H"
2023-11-07,"18:45","Group stage","Signal Iduna Park","2023/2024","Dortmund de","eng Newcastle Utd",2,0,1.4,0.6,"H"
2023-11-07,"19:45","Group stage","Volksparkstadion","2023/2024","Shakhtar ua","es Barcelona",1,0,0.9,0.9,"H"
2023-11-07,"20:00","Group stage","Etihad Stadium","2023/2024","Manchester City eng","ch Young Boys",3,0,3.4,0,"H"
2023-11-07,"20:00","Group stage","Estádio Do Dragão","2023/2024","Porto pt","be Antwerp",2,0,2.2,0.6,"H"
2023-11-07,"21:00","Group stage","Stadion Rajko Mitić","2023/2024","Red Star rs","de RB Leipzig",1,2,1.5,2.3,"A"
2023-11-07,"21:00","Group stage","Stadio Giuseppe Meazza","2023/2024","Milan it","fr Paris S-G",2,1,1.4,1.5,"H"
2023-11-07,"21:00","Group stage","Estadio Cívitas Metropolitano","2023/2024","Atlético Madrid es","sct Celtic",6,0,2.9,0,"H"
2023-11-07,"21:00","Group stage","Stadio Olimpico","2023/2024","Lazio it","nl Feyenoord",1,0,1.1,1.4,"H"
2023-11-08,"18:45","Group stage","Reale Arena","2023/2024","Real Sociedad es","pt Benfica",3,1,3.3,0.8,"H"
2023-11-08,"18:45","Group stage","Stadio Diego Armando Maradona","2023/2024","Napoli it","de Union Berlin",1,1,1.7,1.1,"D"
2023-11-08,"20:00","Group stage","Arsenal Stadium","2023/2024","Arsenal eng","es Sevilla",2,0,1.5,0,"H"
2023-11-08,"21:00","Group stage","Philips Stadion","2023/2024","PSV Eindhoven nl","fr Lens",1,0,0.8,1.1,"H"
2023-11-08,"21:00","Group stage","Red Bull Arena","2023/2024","RB Salzburg at","it Inter",0,1,0.8,2,"A"
2023-11-08,"21:00","Group stage","Parken","2023/2024","FC Copenhagen dk","eng Manchester Utd",4,3,2.2,3,"H"
2023-11-08,"21:00","Group stage","Allianz Arena","2023/2024","Bayern Munich de","tr Galatasaray",2,1,2.5,0.7,"H"
2023-11-08,"21:00","Group stage","Estadio Santiago Bernabéu","2023/2024","Real Madrid es","pt Braga",3,0,3.2,1.4,"H"
2023-11-28,"18:45","Group stage","Stadio Olimpico","2023/2024","Lazio it","sct Celtic",2,0,2.3,0.4,"H"
2023-11-28,"19:45","Group stage","Volksparkstadion (1953)","2023/2024","Shakhtar ua","be Antwerp",1,0,1.3,1.1,"H"
2023-11-28,"20:00","Group stage","Etihad Stadium","2023/2024","Manchester City eng","de RB Leipzig",3,2,1.8,0.5,"H"
2023-11-28,"21:00","Group stage","Stadio Giuseppe Meazza","2023/2024","Milan it","de Dortmund",1,3,2.1,1.8,"A"
2023-11-28,"21:00","Group stage","Parc des Princes","2023/2024","Paris S-G fr","eng Newcastle Utd",1,1,4.4,1.3,"D"
2023-11-28,"21:00","Group stage","Stadion Feijenoord","2023/2024","Feyenoord nl","es Atlético Madrid",1,3,1.1,1.3,"A"
2023-11-28,"21:00","Group stage","Stadion Wankdorf","2023/2024","Young Boys ch","rs Red Star",2,0,1.3,1.8,"H"
2023-11-28,"21:00","Group stage","Estadi Olímpic Lluís Companys","2023/2024","Barcelona es","pt Porto",2,1,1.8,1.1,"H"
2023-11-29,"18:45","Group stage","Estadio Ramón Sánchez Pizjuán","2023/2024","Sevilla es","nl PSV Eindhoven",2,3,1.8,2.2,"A"
2023-11-29,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2023/2024","Benfica pt","it Inter",3,3,1.6,3,"D"
2023-11-29,"20:00","Group stage","Estádio Municipal de Braga","2023/2024","Braga pt","de Union Berlin",1,1,1.8,0.8,"D"
2023-11-29,"20:00","Group stage","Emirates Stadium","2023/2024","Arsenal eng","fr Lens",6,0,2.6,0.4,"H"
2023-11-29,"20:45","Group stage","RAMS Park","2023/2024","Galatasaray tr","eng Manchester Utd",3,3,1.5,1.6,"D"
2023-11-29,"21:00","Group stage","Allianz Arena","2023/2024","Bayern Munich de","dk FC Copenhagen",0,0,0.7,0.7,"D"
2023-11-29,"21:00","Group stage","Estadio Santiago Bernabéu","2023/2024","Real Madrid es","it Napoli",4,2,2.8,1.4,"H"
2023-11-29,"21:00","Group stage","Reale Arena","2023/2024","Real Sociedad es","at RB Salzburg",0,0,1.3,0.6,"D"
2023-12-12,"18:45","Group stage","Stade Bollaert-Delelis","2023/2024","Lens fr","es Sevilla",2,1,1.4,1.3,"H"
2023-12-12,"18:45","Group stage","Philips Stadion","2023/2024","PSV Eindhoven nl","eng Arsenal",1,1,1.3,1,"D"
2023-12-12,"20:00","Group stage","Old Trafford","2023/2024","Manchester Utd eng","de Bayern Munich",0,1,0.3,1.2,"A"
2023-12-12,"21:00","Group stage","Fælledparken Kunst","2023/2024","FC Copenhagen dk","tr Galatasaray",1,0,1.3,1.4,"H"
2023-12-12,"21:00","Group stage","Stadio Giuseppe Meazza","2023/2024","Inter it","es Real Sociedad",0,0,0.7,0.7,"D"
2023-12-12,"21:00","Group stage","Red Bull Arena","2023/2024","RB Salzburg at","pt Benfica",1,3,1.6,3.1,"A"
2023-12-12,"21:00","Group stage","Olympiastadion Berlin","2023/2024","Union Berlin de","es Real Madrid",2,3,1.1,2.9,"A"
2023-12-12,"21:00","Group stage","Stadio Diego Armando Maradona","2023/2024","Napoli it","pt Braga",2,0,1.4,1,"H"
2023-12-13,"18:45","Group stage","Red Bull Arena","2023/2024","RB Leipzig de","ch Young Boys",2,1,0.7,1.5,"H"
2023-12-13,"18:45","Group stage","Stadion Rajko Mitić","2023/2024","Red Star rs","eng Manchester City",2,3,1.1,1.4,"A"
2023-12-13,"20:00","Group stage","St James' Park","2023/2024","Newcastle Utd eng","it Milan",1,2,1.8,1.9,"A"
2023-12-13,"20:00","Group stage","Estádio Do Dragão","2023/2024","Porto pt","ua Shakhtar",5,3,2.7,1.5,"H"
2023-12-13,"20:00","Group stage","Celtic Park","2023/2024","Celtic sct","nl Feyenoord",2,1,2.2,2.1,"H"
2023-12-13,"21:00","Group stage","Bosuilstadion","2023/2024","Antwerp be","es Barcelona",3,2,1.7,1.1,"H"
2023-12-13,"21:00","Group stage","Signal Iduna Park","2023/2024","Dortmund de","fr Paris S-G",1,1,1.4,2.8,"D"
2023-12-13,"21:00","Group stage","Stadium Metropolitano","2023/2024","Atlético Madrid es","it Lazio",2,0,1.3,0.9,"H"
2024-02-13,"21:00","Round of 16","Red Bull Arena","2023/2024","RB Leipzig de","es Real Madrid",0,1,1.4,1.4,"A"
2024-02-13,"21:00","Round of 16","Parken","2023/2024","FC Copenhagen dk","eng Manchester City",1,3,0.3,3.3,"A"
2024-02-14,"21:00","Round of 16","Stadio Olimpico","2023/2024","Lazio it","de Bayern Munich",1,0,1.6,1.1,"H"
2024-02-14,"21:00","Round of 16","Parc des Princes","2023/2024","Paris S-G fr","es Real Sociedad",2,0,1.2,0.7,"H"
2024-02-20,"21:00","Round of 16","Philips Stadion","2023/2024","PSV Eindhoven nl","de Dortmund",1,1,1.6,0.9,"D"
2024-02-20,"21:00","Round of 16","Stadio Giuseppe Meazza","2023/2024","Inter it","es Atlético Madrid",1,0,2.3,0.6,"H"
2024-02-21,"20:00","Round of 16","Estádio Do Dragão","2023/2024","Porto pt","eng Arsenal",1,0,1,0.4,"H"
2024-02-21,"21:00","Round of 16","Stadio Diego Armando Maradona","2023/2024","Napoli it","es Barcelona",1,1,0.9,0.7,"D"
2024-03-05,"21:00","Round of 16","Allianz Arena","2023/2024","Bayern Munich de","it Lazio",3,0,3.5,0.4,"H"
2024-03-05,"21:00","Round of 16","Reale Arena","2023/2024","Real Sociedad es","fr Paris S-G",1,2,0.9,1.4,"A"
2024-03-06,"20:00","Round of 16","Etihad Stadium","2023/2024","Manchester City eng","dk FC Copenhagen",3,1,0.8,1.2,"H"
2024-03-06,"21:00","Round of 16","Estadio Santiago Bernabéu","2023/2024","Real Madrid es","de RB Leipzig",1,1,0.8,1,"D"
2024-03-12,"20:00","Round of 16","Emirates Stadium","2023/2024","Arsenal eng","pt Porto",1,1,0.9,0.5,"D"
2024-03-12,"21:00","Round of 16","Estadi Olímpic Lluís Companys","2023/2024","Barcelona es","it Napoli",3,1,2.7,1.3,"H"
2024-03-13,"21:00","Round of 16","Signal Iduna Park","2023/2024","Dortmund de","nl PSV Eindhoven",2,0,1.5,1.5,"H"
2024-03-13,"21:00","Round of 16","Stadium Metropolitano","2023/2024","Atlético Madrid es","it Inter",2,2,2.7,1.6,"D"
2024-04-09,"20:00","Quarter-finals","Emirates Stadium","2023/2024","Arsenal eng","de Bayern Munich",2,2,1,1.9,"D"
2024-04-09,"21:00","Quarter-finals","Estadio Santiago Bernabéu","2023/2024","Real Madrid es","eng Manchester City",3,3,0.7,0.8,"D"
2024-04-10,"21:00","Quarter-finals","Estadio Cívitas Metropolitano","2023/2024","Atlético Madrid es","de Dortmund",2,1,2.2,0.9,"H"
2024-04-10,"21:00","Quarter-finals","Parc des Princes","2023/2024","Paris S-G fr","es Barcelona",2,3,1.2,1.9,"A"
2024-04-16,"21:00","Quarter-finals","Estadi Olímpic Lluís Companys","2023/2024","Barcelona es","fr Paris S-G",1,4,1.1,2.3,"A"
2024-04-16,"21:00","Quarter-finals","Signal Iduna Park","2023/2024","Dortmund de","es Atlético Madrid",4,2,1.5,1.9,"H"
2024-04-17,"20:00","Quarter-finals","Etihad Stadium","2023/2024","Manchester City eng","es Real Madrid",1,1,2.7,1.4,"D"
2024-04-17,"21:00","Quarter-finals","Allianz Arena","2023/2024","Bayern Munich de","eng Arsenal",1,0,1.3,0.4,"H"
2024-04-30,"21:00","Semi-finals","Allianz Arena","2023/2024","Bayern Munich de","es Real Madrid",2,2,1.6,1.9,"D"
2024-05-01,"21:00","Semi-finals","Signal Iduna Park","2023/2024","Dortmund de","fr Paris S-G",1,0,1.7,1.7,"H"
2024-05-07,"21:00","Semi-finals","Parc des Princes","2023/2024","Paris S-G fr","de Dortmund",0,1,3,0.7,"A"
2024-05-08,"21:00","Semi-finals","Estadio Santiago Bernabéu","2023/2024","Real Madrid es","de Bayern Munich",2,1,2.8,0.4,"H"
2024-06-01,"20:00","Final","Wembley Stadium connected by EE","2023/2024","Dortmund de","es Real Madrid",0,2,2.1,1.1,"A"
