"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2017-11-21,"20:45","Group stage","Signal Iduna Park","2017/2018","Dortmund de","eng Tottenham",1,2,1.1,1.1,"A"
2017-11-21,"20:45","Group stage","Stade Louis II","2017/2018","Monaco fr","de RB Leipzig",1,4,0.8,1.5,"A"
2017-11-21,"21:45","Group stage","Neo GSP","2017/2018","APOEL FC cy","es Real Madrid",0,6,0.5,3.7,"A"
2017-11-22,"19:45","Group stage","Estádio José Alvalade","2017/2018","Sporting CP pt","gr Olympiacos",3,1,2,0.4,"H"
2017-11-22,"20:00","Group stage","VEB Arena","2017/2018","CSKA Moscow ru","pt Benfica",2,0,1,1,"H"
2017-11-22,"20:45","Group stage","Allianz Stadium","2017/2018","Juventus it","es Barcelona",0,0,0.5,0.9,"D"
2017-11-22,"20:45","Group stage","St. Jakob-Park","2017/2018","Basel ch","eng Manchester Utd",1,0,1.1,1.5,"H"
2017-11-22,"20:45","Group stage","Stade Constant Vanden Stock","2017/2018","Anderlecht be","de Bayern Munich",1,2,1.8,2.2,"A"
2017-11-22,"20:45","Group stage","Parc des Princes","2017/2018","Paris S-G fr","sct Celtic",7,1,2.8,0.3,"H"
2017-11-22,"20:45","Group stage","Estadio Wanda Metropolitano","2017/2018","Atlético Madrid es","it Roma",2,0,1.4,0.5,"H"
2017-11-22,"21:00","Group stage","Bakı Olimpiya Stadionu","2017/2018","Qarabağ az","eng Chelsea",0,4,0.2,3.9,"A"
2017-12-05,"19:45","Group stage","Stamford Bridge","2017/2018","Chelsea eng","es Atlético Madrid",1,1,2.9,1,"D"
2017-12-05,"19:45","Group stage","Celtic Park","2017/2018","Celtic sct","be Anderlecht",0,1,0.8,0.7,"A"
2017-12-05,"19:45","Group stage","Old Trafford","2017/2018","Manchester Utd eng","ru CSKA Moscow",2,1,2.9,0.8,"H"
2017-12-05,"19:45","Group stage","Estádio do Sport Lisboa e Benfica","2017/2018","Benfica pt","ch Basel",0,2,1.4,1.4,"A"
2017-12-05,"20:45","Group stage","Camp Nou","2017/2018","Barcelona es","pt Sporting CP",2,0,1.2,1,"H"
2017-12-05,"20:45","Group stage","Stadio Olimpico","2017/2018","Roma it","az Qarabağ",1,0,1.9,0.4,"H"
2017-12-05,"20:45","Group stage","Allianz Arena","2017/2018","Bayern Munich de","fr Paris S-G",3,1,1.8,1.9,"H"
2017-12-05,"21:45","Group stage","Stadio Georgios Karaiskáki","2017/2018","Olympiacos gr","it Juventus",0,2,1,1.5,"A"
