Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Team,2024-07-10,19:00 (22:30),First qualifying round,Wed,Home,W,4,2
65,30,Kadan Young,eng ENG,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Aston Villa,,,,,,,,
66,31,Oliwier Zych,pl POL,GK,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Aston Villa,,,,,,,,
67,0,Marten de Roon,nl NED,MF,33.0,10.0,10.0,873.0,9.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,10.0,74.0,7.0,Atalanta,,,,,,,,
68,1,Marco Carnesecchi,it ITA,GK,24.0,9.0,9.0,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,,,,,,,,
69,2,Sead Kolašinac,ba BIH,DF,31.0,9.0,9.0,633.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.7,17.0,53.0,13.0,Atalanta,,,,,,,,
70,3,Éderson,br BRA,MF,25.0,9.0,8.0,739.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.6,1.0,12.0,62.0,21.0,Atalanta,,,,,,,,
71,4,Isak Hien,se SWE,DF,25.0,8.0,8.0,709.0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.3,1.0,5.0,19.0,3.0,Atalanta,,,,,,,,
72,5,Charles De Ketelaere,be BEL,"FW,MF",23.0,10.0,8.0,699.0,7.8,4.0,5.0,9.0,3.0,1.0,1.0,0.0,0.0,2.7,1.9,5.0,6.8,37.0,30.0,75.0,Atalanta,,,,,,,,
73,6,Davide Zappacosta,it ITA,DF,32.0,9.0,8.0,697.0,7.7,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,3.3,4.4,42.0,43.0,90.0,Atalanta,,,,,,,,
74,7,Berat Djimsiti,al ALB,DF,31.0,9.0,8.0,678.0,7.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.2,1.3,8.0,48.0,7.0,Atalanta,,,,,,,,
75,8,Mario Pašalić,hr CRO,MF,29.0,10.0,8.0,603.0,6.7,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.8,3.8,0.4,4.2,15.0,35.0,23.0,Atalanta,,,,,,,,
76,9,Mateo Retegui,it ITA,FW,25.0,10.0,8.0,569.0,6.3,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.7,3.8,0.5,4.3,17.0,12.0,50.0,Atalanta,,,,,,,,
77,10,Raoul Bellanova,it ITA,DF,24.0,8.0,6.0,463.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.4,0.8,23.0,16.0,34.0,Atalanta,,,,,,,,
78,11,Ademola Lookman,ng NGA,"FW,MF",26.0,7.0,5.0,479.0,5.3,5.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,5.2,4.4,2.8,7.2,31.0,22.0,74.0,Atalanta,,,,,,,,
